sample_id,source_inventory,latitude,longitude,landslide,copernicus_elevation_m,copernicus_slope_deg,copernicus_aspect_deg,copernicus_plan_curvature,copernicus_profile_curvature,copernicus_twi,gpm_imerg_rainfall_1d_mm,gpm_imerg_rainfall_3d_mm,gpm_imerg_rainfall_7d_mm,gpm_imerg_peak_intensity_mm_h,smap_surface_moisture_m3m3,smap_rootzone_moisture_m3m3,smap_soil_saturation_ratio,sentinel1_sar_vv_db,sentinel1_sar_vh_db,sentinel1_polarimetric_ratio_vh_vv,sentinel1_interferometric_coherence,sentinel2_ndvi,sentinel2_ndwi,sentinel2_bsi,nasa_lhasa_nowcast_score,nasa_lhasa_antecedent_rainfall_index,nasa_lhasa_susceptibility_category,split
APDA-V2-NEG-0108,Spatial Negative Buffer Control,25.40562,91.51142,0,1567.5,1.35,244.0,0.00455,0.00371,8.62,0.23,13.41,35.35,0.04,0.099,0.091,0.226,-17.37,-20.09,-2.72,0.692,0.716,0.037,-0.019,0.211,20.35,3.0,val
APDA-V2-POS-0540,NASA COOLR (Verified Event),27.35011,92.42207,1,1614.8,31.03,231.3,-0.00532,0.02045,6.04,76.78,229.98,433.31,15.11,0.416,0.376,0.775,-9.93,-18.71,-8.78,0.42,0.48,0.635,0.499,0.655,408.86,5.0,val
APDA-V2-NEG-0457,Spatial Negative Buffer Control,27.77922,91.69372,0,1576.8,2.25,31.1,0.0051,0.00046,8.23,0.55,15.88,33.0,0.09,0.062,0.057,0.127,-13.8,-21.71,-7.91,0.795,0.685,-0.148,-0.176,0.075,13.95,2.0,val
APDA-V2-NEG-0551,Spatial Negative Buffer Control,25.85308,90.36476,0,1789.1,1.53,218.8,0.00287,0.00495,8.14,5.39,10.65,31.12,0.9,0.197,0.181,0.434,-12.67,-21.07,-8.4,0.721,0.862,0.121,-0.148,0.172,19.5,1.0,val
APDA-V2-POS-0364,NASA COOLR (Verified Event),25.18487,93.02426,1,1213.4,33.37,234.1,-0.05973,0.023,6.52,40.07,177.23,317.95,11.64,0.413,0.374,0.783,-9.38,-19.54,-10.17,0.272,0.48,0.626,0.399,0.822,290.35,5.0,val
APDA-V2-POS-0033,NASA COOLR (Verified Event),27.6911,88.58283,1,1559.7,38.63,233.4,0.01188,0.01571,5.46,50.04,148.74,210.99,16.82,0.377,0.332,0.68,-11.59,-14.0,-2.41,0.309,0.48,0.594,0.31,0.62,172.64,4.0,val
APDA-V2-POS-0008,NASA COOLR (Verified Event),25.07749,93.15259,1,1906.5,34.54,229.5,-0.04694,0.00786,5.99,60.49,132.02,377.81,17.17,0.348,0.312,0.68,-10.33,-15.02,-4.69,0.366,0.48,0.273,0.58,0.62,285.64,5.0,val
APDA-V2-NEG-0540,Spatial Negative Buffer Control,27.03949,92.61543,0,1783.4,1.1,252.1,0.01691,-0.00807,8.94,25.15,35.78,60.32,4.19,0.109,0.1,0.227,-17.98,-22.42,-4.44,0.865,0.665,-0.109,-0.082,0.13,39.11,1.0,val
APDA-V2-NEG-0007,Spatial Negative Buffer Control,25.57917,92.79311,0,1524.0,16.0,347.7,-0.01391,0.00732,6.12,5.09,15.32,40.94,0.85,0.191,0.176,0.395,-13.69,-20.54,-6.85,0.79,0.849,-0.213,-0.06,0.158,24.34,1.0,val
APDA-V2-POS-0723,NASA COOLR (Verified Event),24.83058,92.79718,1,781.7,38.02,237.5,-0.00469,0.01374,6.27,35.0,147.35,330.94,10.49,0.358,0.321,0.68,-11.65,-22.43,-10.79,0.377,0.48,0.647,0.58,0.872,289.81,5.0,val
APDA-V2-NEG-0390,Spatial Negative Buffer Control,27.56811,88.39096,0,2584.6,5.39,86.0,0.00562,0.00252,6.32,2.17,26.58,37.01,0.36,0.079,0.073,0.18,-14.85,-19.05,-4.2,0.776,0.55,0.044,-0.158,0.246,19.27,2.0,val
APDA-V2-NEG-0619,Spatial Negative Buffer Control,25.76145,91.4419,0,1399.3,0.88,80.4,-0.00534,0.01084,8.66,1.37,26.34,61.13,0.23,0.274,0.252,0.555,-17.03,-17.5,-0.46,0.738,0.643,-0.073,-0.079,0.026,26.26,3.0,val
APDA-V2-POS-0504,NASA COOLR (Verified Event),27.03657,88.2613,1,3202.6,34.11,207.8,-0.04694,0.00544,6.35,64.28,129.62,313.07,14.33,0.449,0.399,0.795,-9.26,-13.28,-4.02,0.325,0.458,0.65,0.408,0.85,244.29,5.0,val
APDA-V2-NEG-0602,Spatial Negative Buffer Control,26.78328,87.9145,0,769.7,1.47,188.8,-0.00507,0.01337,8.41,0.52,5.33,28.83,0.09,0.086,0.079,0.185,-13.49,-21.91,-8.42,0.473,0.88,-0.007,-0.004,0.42,14.27,2.0,val
APDA-V2-NEG-0633,Spatial Negative Buffer Control,25.3658,92.0829,0,671.4,0.17,230.5,0.00197,0.00964,9.31,5.33,11.59,30.8,0.89,0.177,0.162,0.417,-15.11,-17.76,-2.65,0.635,0.79,0.084,-0.101,0.421,19.92,3.0,val
APDA-V2-NEG-0795,Spatial Negative Buffer Control,24.93247,94.00737,0,1260.7,1.24,170.6,0.00368,-0.01572,8.52,3.91,12.19,45.98,0.65,0.238,0.219,0.482,-19.85,-22.44,-2.59,0.572,0.88,-0.062,-0.071,0.023,26.45,2.0,val
APDA-V2-NEG-0491,Spatial Negative Buffer Control,25.37658,92.87095,0,1169.6,2.19,184.0,-0.01232,0.00593,7.9,0.17,1.89,9.07,0.03,0.188,0.173,0.395,-12.62,-22.34,-9.72,0.763,0.799,0.094,-0.116,0.328,3.64,2.0,val
APDA-V2-POS-0683,NASA COOLR (Verified Event),26.01059,93.42185,1,1451.4,22.5,203.1,-0.04255,0.03443,5.85,90.48,255.98,466.04,23.24,0.367,0.32,0.68,-7.12,-19.14,-12.02,0.42,0.394,0.65,0.58,0.944,416.39,4.0,val
APDA-V2-POS-0191,NASA COOLR (Verified Event),25.29993,91.70832,1,1143.4,39.04,95.0,-0.09451,0.03241,5.13,64.88,232.04,491.36,17.08,0.37,0.331,0.746,-9.97,-12.69,-2.71,0.355,0.48,0.65,0.58,0.637,452.6,5.0,val
APDA-V2-POS-0836,NASA COOLR (Verified Event),27.0989,93.61328,1,2045.5,43.51,186.3,0.00389,0.00694,6.01,58.58,228.07,472.79,13.41,0.404,0.362,0.713,-7.96,-15.89,-7.94,0.31,0.237,0.615,0.58,0.914,365.79,4.0,val
APDA-V2-NEG-0274,Spatial Negative Buffer Control,25.14011,92.22953,0,896.1,0.65,65.9,0.00676,-0.01596,8.65,2.05,6.77,19.72,0.34,0.203,0.187,0.447,-12.56,-21.05,-8.49,0.78,0.71,-0.083,0.004,0.032,10.63,1.0,val
APDA-V2-POS-0648,NASA COOLR (Verified Event),24.7828,93.68391,1,1015.6,38.63,151.2,-0.00867,0.07137,5.77,57.72,153.34,389.87,11.8,0.459,0.426,0.897,-9.26,-16.14,-6.87,0.42,0.401,0.65,0.539,0.868,327.12,5.0,val
APDA-V2-NEG-0265,Spatial Negative Buffer Control,27.12252,88.91713,0,2251.4,10.45,16.4,-0.01996,-0.00405,6.03,3.2,22.71,29.26,0.53,0.104,0.096,0.226,-13.36,-20.02,-6.67,0.92,0.593,-0.153,-0.092,0.396,13.72,1.0,val
APDA-V2-NEG-0868,Spatial Negative Buffer Control,25.04763,92.60415,0,1157.4,0.07,208.9,0.01103,0.01915,9.3,1.73,18.64,44.15,0.29,0.257,0.236,0.566,-13.08,-22.36,-9.27,0.69,0.753,0.031,0.105,0.031,25.87,1.0,val
APDA-V2-POS-0065,NASA COOLR (Verified Event),25.29636,91.70539,1,917.0,40.79,177.3,-0.02635,0.04615,5.5,107.84,241.6,396.53,19.76,0.388,0.342,0.68,-6.69,-13.79,-7.1,0.42,0.48,0.65,0.58,0.912,365.71,5.0,val
APDA-V2-NEG-0782,Spatial Negative Buffer Control,25.36495,90.37273,0,1240.9,12.41,106.5,0.01894,0.00637,5.88,20.47,27.64,51.87,3.41,0.132,0.121,0.275,-16.28,-16.22,0.06,0.478,0.75,0.016,-0.003,0.38,22.23,2.0,val
APDA-V2-POS-0449,NASA COOLR (Verified Event),25.07267,93.14968,1,1862.7,28.6,194.7,-0.03651,0.08826,6.37,41.52,120.93,362.31,11.2,0.442,0.391,0.833,-10.54,-13.7,-3.17,0.399,0.4,0.243,0.58,0.746,317.27,4.0,val
APDA-V2-NEG-0898,Spatial Negative Buffer Control,27.97892,91.42769,0,3595.8,0.68,98.4,0.01461,0.00346,8.66,3.66,16.0,18.09,0.61,0.345,0.318,0.712,-16.62,-18.11,-1.49,0.593,0.787,-0.022,-0.2,0.319,7.71,1.0,val
APDA-V2-NEG-0680,Spatial Negative Buffer Control,25.41691,92.72315,0,1758.4,2.4,165.8,-0.01018,0.01002,7.31,10.86,30.62,35.49,1.81,0.184,0.169,0.381,-11.1,-20.15,-9.05,0.62,0.55,0.139,-0.147,0.033,22.52,2.0,val
APDA-V2-NEG-0830,Spatial Negative Buffer Control,26.24904,93.69591,0,1497.1,0.19,104.6,0.01009,0.01394,9.59,4.86,24.6,35.93,0.81,0.264,0.242,0.561,-16.26,-20.1,-3.84,0.623,0.88,-0.086,0.02,0.219,21.44,1.0,val
APDA-V2-POS-0383,NASA COOLR (Verified Event),25.60642,90.58489,1,1813.9,26.59,173.7,-0.04594,0.02741,6.66,84.97,150.15,225.62,15.79,0.418,0.378,0.86,-7.77,-16.6,-8.83,0.258,0.271,0.414,0.58,0.859,191.8,5.0,val
APDA-V2-POS-0159,NASA COOLR (Verified Event),27.69051,88.587,1,1583.0,36.02,152.5,-0.0601,0.09338,6.4,65.73,157.48,362.98,13.17,0.372,0.339,0.722,-11.28,-13.32,-2.04,0.163,0.48,0.603,0.203,0.717,291.07,4.0,val
APDA-V2-POS-0217,NASA COOLR (Verified Event),25.18586,93.02702,1,1360.2,40.79,189.8,-0.00503,0.06903,5.45,139.83,221.13,507.77,20.34,0.386,0.35,0.797,-11.19,-14.36,-3.17,0.339,0.363,0.469,0.58,0.868,478.56,5.0,val
APDA-V2-POS-0560,NASA COOLR (Verified Event),27.18526,88.35234,1,3314.3,28.51,150.2,-0.02571,0.02447,5.06,81.12,207.88,348.26,16.6,0.423,0.389,0.877,-9.68,-13.29,-3.61,0.289,0.159,0.65,0.363,0.726,310.79,4.0,val
APDA-V2-POS-0400,NASA COOLR (Verified Event),25.53841,91.87393,1,1150.9,19.49,218.7,-0.04507,0.0662,7.13,87.81,217.13,336.18,19.98,0.49,0.443,0.929,-8.33,-17.2,-8.87,0.26,0.201,0.485,0.341,0.807,276.03,4.0,val
APDA-V2-NEG-0094,Spatial Negative Buffer Control,26.52097,91.99503,0,849.6,0.29,321.2,-0.0024,0.01569,9.1,5.24,11.9,28.09,0.87,0.041,0.037,0.097,-13.44,-18.9,-5.47,0.648,0.658,-0.083,-0.099,0.426,17.51,1.0,val
APDA-V2-POS-0012,NASA COOLR (Verified Event),27.70023,88.58682,1,3623.8,27.81,243.2,-0.09753,0.05023,6.69,91.51,164.15,458.21,13.9,0.381,0.336,0.699,-10.29,-11.72,-1.43,0.231,0.359,0.625,0.58,0.945,382.11,5.0,val
APDA-V2-POS-0013,NASA COOLR (Verified Event),27.33193,88.61737,1,3641.3,26.21,235.3,-0.04817,-0.00196,6.33,54.82,216.7,436.45,14.63,0.518,0.495,0.985,-6.81,-13.02,-6.21,0.412,0.305,0.578,0.58,0.713,397.67,5.0,val
APDA-V2-NEG-0170,Spatial Negative Buffer Control,25.13108,92.11509,0,1344.1,5.78,232.4,0.0015,-0.00517,5.82,11.24,13.28,51.13,1.87,0.072,0.067,0.152,-13.71,-21.7,-7.99,0.645,0.55,-0.015,-0.078,0.211,22.69,2.0,val
APDA-V2-POS-0471,NASA COOLR (Verified Event),24.83277,92.79826,1,1299.5,41.51,217.6,0.00974,0.03547,5.86,69.67,133.54,198.55,12.68,0.377,0.343,0.68,-10.16,-11.87,-1.71,0.369,0.48,0.65,0.58,0.62,172.97,5.0,val
APDA-V2-NEG-0497,Spatial Negative Buffer Control,27.55405,88.66238,0,1631.7,0.72,272.4,-0.00497,5e-05,8.68,4.48,5.46,34.3,0.75,0.127,0.117,0.295,-13.45,-21.28,-7.84,0.52,0.634,-0.011,-0.047,0.19,19.14,2.0,val
APDA-V2-POS-0670,NASA COOLR (Verified Event),23.73248,92.71898,1,1350.0,35.81,141.6,-0.03335,-0.01155,5.95,66.76,127.52,318.41,14.73,0.456,0.42,0.855,-6.57,-19.11,-12.54,0.214,0.48,0.507,0.58,0.79,279.29,4.0,val
APDA-V2-NEG-0753,Spatial Negative Buffer Control,24.41098,93.82714,0,805.3,15.96,319.5,0.00976,0.02528,4.4,24.79,34.45,65.19,4.13,0.068,0.063,0.155,-14.53,-21.34,-6.81,0.564,0.851,-0.06,-0.11,0.025,40.79,2.0,val
APDA-V2-POS-0356,NASA COOLR (Verified Event),25.67716,94.11002,1,1422.3,35.61,188.2,-0.02155,-0.00165,5.44,151.07,197.89,465.99,25.04,0.368,0.329,0.718,-11.49,-18.74,-7.25,0.289,0.383,0.42,0.58,0.86,354.22,5.0,val
APDA-V2-NEG-0165,Spatial Negative Buffer Control,24.61883,93.83303,0,780.4,3.87,244.7,0.01907,0.01898,6.14,3.62,11.92,36.27,0.6,0.07,0.065,0.163,-11.45,-16.63,-5.18,0.887,0.88,-0.037,-0.2,0.04,14.59,2.0,val
APDA-V2-POS-0787,NASA COOLR (Verified Event),26.1704,91.75406,1,1286.0,36.88,157.9,4e-05,0.06879,5.99,107.28,308.26,461.54,16.5,0.488,0.449,0.939,-6.89,-18.44,-11.56,0.247,0.48,0.6,0.526,0.916,382.82,5.0,val
APDA-V2-POS-0595,NASA COOLR (Verified Event),25.18925,93.0173,1,1470.0,35.8,195.6,-0.00906,0.00818,5.91,77.62,281.23,496.38,13.29,0.374,0.343,0.746,-11.37,-15.52,-4.15,0.297,0.378,0.464,0.58,0.85,452.88,5.0,val
APDA-V2-NEG-0793,Spatial Negative Buffer Control,27.71195,91.49439,0,3031.8,3.79,127.1,-0.00589,-0.00886,7.44,0.48,4.29,37.75,0.08,0.126,0.115,0.271,-10.02,-18.5,-8.48,0.619,0.58,-0.25,-0.064,0.112,18.67,3.0,val
APDA-V2-POS-0729,NASA COOLR (Verified Event),27.35747,92.41888,1,3062.9,34.33,140.1,-0.04917,0.06523,6.41,53.28,239.11,398.34,11.98,0.371,0.327,0.72,-8.15,-19.29,-11.13,0.385,0.48,0.613,0.58,0.62,328.6,5.0,val
APDA-V2-POS-0525,NASA COOLR (Verified Event),27.04147,88.25891,1,2208.7,38.69,197.2,-0.04168,0.04559,5.4,86.61,229.9,297.39,19.99,0.457,0.406,0.862,-11.21,-14.15,-2.94,0.42,0.379,0.65,0.31,0.693,233.19,4.0,val
APDA-V2-POS-0869,NASA COOLR (Verified Event),25.0754,93.15136,1,1326.5,33.68,232.5,0.03036,0.03565,6.23,164.41,230.6,504.64,41.97,0.368,0.329,0.68,-8.01,-14.59,-6.58,0.08,0.48,0.374,0.58,0.657,410.72,5.0,val
APDA-V2-POS-0702,NASA COOLR (Verified Event),24.83801,92.80231,1,1148.6,39.39,162.7,-0.07279,0.06013,4.98,104.41,163.45,348.87,18.19,0.441,0.407,0.836,-5.88,-14.0,-8.11,0.192,0.48,0.65,0.58,0.876,303.69,5.0,val
APDA-V2-NEG-0469,Spatial Negative Buffer Control,25.31415,92.61927,0,1579.0,1.24,81.6,-0.00863,0.00402,7.44,1.93,17.44,26.38,0.32,0.053,0.049,0.107,-11.26,-16.04,-4.79,0.768,0.88,-0.032,-0.2,0.232,13.25,1.0,val
APDA-V2-POS-0433,NASA COOLR (Verified Event),27.33204,88.60823,1,1662.5,36.83,145.8,-0.06951,0.01241,6.1,101.4,180.5,374.16,18.57,0.459,0.414,0.891,-8.64,-14.2,-5.56,0.148,0.385,0.433,0.58,0.886,318.61,4.0,val
APDA-V2-POS-0288,NASA COOLR (Verified Event),27.34999,92.41473,1,1826.4,40.59,234.4,-0.05025,0.03472,5.49,64.18,232.1,365.14,16.29,0.375,0.341,0.729,-7.84,-21.59,-13.75,0.358,0.12,0.621,0.58,0.693,312.2,5.0,val
APDA-V2-POS-0235,NASA COOLR (Verified Event),25.44503,92.19519,1,947.0,25.31,180.1,-0.00971,0.03103,5.83,73.5,266.93,411.33,14.38,0.471,0.423,0.914,-10.54,-18.26,-7.72,0.42,0.298,0.545,0.58,0.747,373.75,5.0,val
APDA-V2-POS-0107,NASA COOLR (Verified Event),25.3035,91.71413,1,1739.1,33.38,231.9,-0.06801,0.06041,6.29,97.34,207.75,323.6,14.61,0.479,0.427,0.908,-9.13,-15.71,-6.58,0.42,0.48,0.637,0.568,0.796,279.74,5.0,val
APDA-V2-POS-0352,NASA COOLR (Verified Event),27.58576,91.85529,1,2949.7,23.5,234.8,-0.00582,0.02754,6.91,77.32,232.55,456.26,15.57,0.395,0.348,0.712,-8.96,-15.85,-6.89,0.088,0.235,0.65,0.58,0.69,394.27,4.0,val
APDA-V2-NEG-0498,Spatial Negative Buffer Control,27.79356,92.85804,0,1445.8,3.49,270.6,0.00998,0.0226,5.97,2.74,7.82,22.67,0.46,0.291,0.268,0.62,-15.03,-20.13,-5.1,0.45,0.88,-0.121,-0.056,0.054,11.23,3.0,val
APDA-V2-POS-0730,NASA COOLR (Verified Event),27.59808,91.8633,1,2380.2,25.47,176.7,0.00728,0.01535,6.73,69.05,170.73,391.13,14.37,0.386,0.342,0.68,-8.87,-16.05,-7.18,0.35,0.262,0.65,0.58,0.863,294.09,4.0,val
APDA-V2-POS-0618,NASA COOLR (Verified Event),24.83724,92.80184,1,859.2,30.52,156.6,-0.06646,0.01969,6.3,71.05,260.1,480.08,17.14,0.47,0.431,0.948,-8.12,-14.02,-5.89,0.42,0.48,0.569,0.445,0.62,411.53,5.0,val
APDA-V2-NEG-0611,Spatial Negative Buffer Control,25.13238,91.9126,0,1748.6,1.52,345.0,0.01341,-0.01062,8.33,9.9,11.0,47.25,1.65,0.251,0.231,0.564,-14.27,-21.22,-6.95,0.897,0.88,0.026,-0.043,0.324,25.29,1.0,val
APDA-V2-POS-0826,NASA COOLR (Verified Event),25.1819,93.02299,1,1803.1,35.64,147.7,-0.05151,0.03261,5.96,105.37,280.61,404.26,20.11,0.441,0.405,0.791,-5.97,-16.6,-10.63,0.42,0.319,0.384,0.18,0.799,376.3,4.0,val
APDA-V2-NEG-0468,Spatial Negative Buffer Control,25.79413,92.08701,0,840.8,6.01,140.6,-0.00265,0.01844,6.82,2.26,14.94,29.84,0.38,0.394,0.362,0.798,-16.41,-17.63,-1.22,0.766,0.815,-0.154,-0.198,0.111,13.35,1.0,val
APDA-V2-NEG-0100,Spatial Negative Buffer Control,28.02256,91.5384,0,3052.3,5.05,337.7,0.00433,-0.01118,6.57,9.73,33.49,63.29,1.62,0.072,0.066,0.153,-9.8,-16.5,-6.69,0.869,0.692,-0.131,-0.156,0.467,30.46,2.0,val
APDA-V2-POS-0036,NASA COOLR (Verified Event),27.34715,92.41482,1,1610.9,26.76,207.9,-0.02237,-0.02191,6.79,99.59,234.29,505.26,15.86,0.371,0.335,0.722,-9.15,-18.45,-9.29,0.298,0.459,0.458,0.403,0.759,398.0,4.0,val
APDA-V2-POS-0772,NASA COOLR (Verified Event),27.58019,91.86322,1,2011.7,39.92,179.4,-0.07231,0.01505,4.94,107.24,217.33,417.48,17.84,0.437,0.398,0.817,-8.94,-11.21,-2.28,0.287,0.37,0.548,0.435,0.717,368.04,5.0,val
APDA-V2-POS-0761,NASA COOLR (Verified Event),25.60321,90.57445,1,1775.5,30.53,102.4,-0.04363,0.03916,5.71,121.65,252.41,454.05,25.91,0.363,0.334,0.758,-12.27,-17.69,-5.42,0.128,0.15,0.65,0.58,0.795,396.22,5.0,val
APDA-V2-POS-0857,NASA COOLR (Verified Event),27.10633,93.60944,1,2200.7,29.88,232.5,-0.03786,-0.0011,5.68,47.41,115.08,206.39,10.94,0.43,0.382,0.789,-9.97,-20.18,-10.21,0.3,0.267,0.65,0.495,0.712,161.38,5.0,val
APDA-V2-NEG-0605,Spatial Negative Buffer Control,26.73087,93.98531,0,984.1,8.09,127.8,-0.00241,-0.01701,5.68,9.54,15.01,34.11,1.59,0.115,0.106,0.257,-13.98,-20.13,-6.15,0.733,0.701,-0.093,-0.143,0.055,22.16,1.0,val
APDA-V2-NEG-0896,Spatial Negative Buffer Control,27.41615,88.76276,0,3757.6,6.95,341.2,-0.00584,-0.00664,7.03,6.95,13.95,45.11,1.16,0.283,0.261,0.637,-15.11,-22.38,-7.27,0.711,0.55,-0.049,-0.059,0.136,21.01,2.0,val
APDA-V2-NEG-0508,Spatial Negative Buffer Control,25.80057,91.98586,0,884.8,2.32,316.4,0.01798,-0.00528,8.21,16.19,28.81,31.48,2.7,0.051,0.047,0.111,-13.47,-14.1,-0.63,0.742,0.789,0.01,0.018,0.338,19.02,3.0,val
APDA-V2-POS-0741,NASA COOLR (Verified Event),25.57043,91.88209,1,827.8,32.9,291.3,-0.04563,0.00174,6.42,148.34,198.5,472.98,25.65,0.466,0.416,0.843,-12.91,-10.89,2.02,0.42,0.48,0.65,0.422,0.761,429.03,4.0,val
APDA-V2-POS-0157,NASA COOLR (Verified Event),26.16573,91.75423,1,1955.9,35.42,154.0,-0.03266,0.01577,5.99,96.5,231.84,512.34,16.71,0.384,0.343,0.68,-8.07,-12.7,-4.63,0.42,0.401,0.65,0.453,0.818,432.91,4.0,val
APDA-V2-NEG-0275,Spatial Negative Buffer Control,24.91655,91.97379,0,459.1,8.71,229.4,0.01728,-0.01143,6.57,1.25,11.57,50.67,0.21,0.264,0.243,0.537,-11.03,-21.13,-10.1,0.837,0.822,-0.061,-0.147,0.299,29.13,2.0,val
APDA-V2-NEG-0256,Spatial Negative Buffer Control,25.60124,91.78348,0,1339.7,10.15,278.3,-0.01504,-0.00092,6.46,10.94,23.54,61.8,1.82,0.128,0.118,0.304,-13.07,-20.21,-7.14,0.45,0.55,-0.047,-0.012,0.063,24.74,2.0,val
APDA-V2-NEG-0777,Spatial Negative Buffer Control,26.68386,88.10129,0,1900.0,5.47,327.5,0.0118,0.03157,7.21,2.31,14.26,33.42,0.38,0.245,0.226,0.507,-14.62,-19.4,-4.78,0.669,0.851,0.15,0.12,0.177,16.5,1.0,val
APDA-V2-POS-0600,NASA COOLR (Verified Event),27.69092,88.58356,1,2588.9,29.74,215.3,-0.06917,0.04457,5.64,55.15,123.45,354.11,16.91,0.458,0.412,0.928,-9.3,-15.34,-6.04,0.333,0.439,0.318,0.58,0.886,288.27,5.0,val
APDA-V2-POS-0845,NASA COOLR (Verified Event),25.60603,90.58564,1,1257.9,41.93,186.2,-0.04614,0.0366,6.01,122.62,197.99,310.06,24.11,0.389,0.359,0.776,-10.44,-14.37,-3.93,0.412,0.48,0.425,0.58,0.916,253.99,5.0,val
APDA-V2-NEG-0751,Spatial Negative Buffer Control,27.75961,91.52445,0,1634.3,3.87,68.4,-0.00917,0.01446,7.57,3.96,12.22,26.79,0.66,0.049,0.045,0.1,-16.73,-18.9,-2.17,0.734,0.869,-0.101,-0.033,0.217,14.93,2.0,val
APDA-V2-POS-0377,NASA COOLR (Verified Event),25.67764,94.11478,1,1666.0,21.87,194.1,-0.05862,0.06747,7.01,82.81,189.81,285.37,19.32,0.417,0.37,0.737,-13.5,-18.21,-4.71,0.42,0.48,0.65,0.58,0.705,270.02,4.0,val
APDA-V2-POS-0321,NASA COOLR (Verified Event),25.56451,91.88143,1,1504.7,30.19,177.4,-0.05896,0.07836,6.56,95.07,143.58,340.7,19.13,0.359,0.325,0.68,-8.66,-17.79,-9.12,0.284,0.249,0.65,0.58,0.91,293.98,5.0,val
APDA-V2-POS-0895,NASA COOLR (Verified Event),27.32501,88.61789,1,2111.1,38.36,204.7,0.01207,0.05579,5.64,72.0,281.62,508.47,14.59,0.443,0.405,0.869,-12.04,-20.79,-8.75,0.251,0.391,0.65,0.58,0.696,418.55,5.0,val
APDA-V2-POS-0214,NASA COOLR (Verified Event),25.44408,92.19724,1,1459.1,31.79,134.3,-0.01765,0.04402,5.58,63.51,197.43,296.6,12.99,0.364,0.334,0.68,-6.61,-17.6,-10.99,0.42,0.149,0.605,0.385,0.788,263.82,4.0,val
APDA-V2-POS-0011,NASA COOLR (Verified Event),26.01689,93.41458,1,1725.6,34.4,162.2,-0.02801,0.01037,5.94,73.18,120.32,294.47,11.08,0.464,0.417,0.834,-8.58,-18.19,-9.61,0.221,0.48,0.65,0.58,0.917,253.05,4.0,val
APDA-V2-POS-0786,NASA COOLR (Verified Event),24.83717,92.80283,1,692.7,30.85,232.0,-0.08379,0.03446,6.47,47.81,95.21,240.24,11.09,0.371,0.341,0.68,-11.63,-15.57,-3.94,0.16,0.327,0.62,0.58,0.846,219.04,5.0,val
APDA-V2-POS-0277,NASA COOLR (Verified Event),25.43749,92.19552,1,1141.6,31.11,236.8,-0.0172,-0.00675,6.18,69.84,231.62,296.98,17.56,0.422,0.374,0.766,-11.08,-13.45,-2.37,0.42,0.124,0.605,0.474,0.732,271.45,5.0,val
APDA-V2-NEG-0200,Spatial Negative Buffer Control,25.73926,93.23666,0,1177.3,12.9,175.7,0.01895,-0.01525,5.7,6.13,29.19,45.58,1.02,0.063,0.058,0.133,-14.86,-20.99,-6.13,0.84,0.718,-0.069,-0.035,0.111,18.42,1.0,val
APDA-V2-NEG-0778,Spatial Negative Buffer Control,25.75017,91.65474,0,1020.6,4.9,339.4,0.00071,0.00157,5.85,8.08,13.42,47.81,1.35,0.131,0.121,0.286,-11.87,-21.51,-9.64,0.683,0.58,-0.03,0.056,0.119,19.24,1.0,val
APDA-V2-POS-0685,NASA COOLR (Verified Event),27.3269,88.61024,1,2077.5,30.45,260.5,-0.0497,0.05641,6.25,203.41,277.26,372.5,40.79,0.365,0.323,0.68,-8.12,-15.97,-7.85,0.102,0.48,0.44,0.518,0.875,289.39,4.0,val
APDA-V2-NEG-0884,Spatial Negative Buffer Control,25.58554,91.37824,0,1098.3,1.07,312.9,0.00057,-0.00276,8.44,5.93,20.41,35.3,0.99,0.164,0.151,0.362,-13.68,-20.58,-6.9,0.671,0.617,-0.23,-0.073,0.074,18.64,2.0,val
APDA-V2-POS-0108,NASA COOLR (Verified Event),25.75414,91.90659,1,646.3,42.95,163.8,-0.02098,0.01693,6.0,47.69,104.73,166.8,13.03,0.414,0.382,0.761,-8.31,-15.22,-6.9,0.123,0.48,0.65,0.58,0.877,154.53,5.0,val
APDA-V2-NEG-0802,Spatial Negative Buffer Control,25.10811,91.88528,0,1320.9,3.73,67.3,0.0149,0.00173,5.77,14.38,39.35,74.46,2.4,0.214,0.197,0.492,-15.64,-20.31,-4.67,0.856,0.621,-0.1,-0.057,0.243,38.44,1.0,val
APDA-V2-POS-0856,NASA COOLR (Verified Event),27.57788,91.8652,1,3489.6,34.57,36.2,-0.04866,0.05482,5.5,43.88,105.58,176.47,13.26,0.464,0.428,0.896,-7.39,-12.42,-5.04,0.393,0.249,0.65,0.58,0.797,153.28,4.0,val
APDA-V2-NEG-0439,Spatial Negative Buffer Control,23.90618,93.0746,0,259.9,16.0,325.3,0.0075,0.00857,5.91,12.83,14.13,33.97,2.14,0.251,0.231,0.534,-14.92,-21.19,-6.27,0.622,0.88,-0.187,-0.138,0.054,15.35,2.0,val
APDA-V2-NEG-0855,Spatial Negative Buffer Control,27.72987,92.20383,0,3739.8,13.87,77.4,-0.00841,-0.0049,5.2,2.66,23.92,44.56,0.44,0.267,0.246,0.606,-14.31,-22.03,-7.72,0.646,0.88,0.005,-0.148,0.29,26.77,1.0,val
